2020-06-08,110133,23031461,SCAVENGER BODY,NA,DD,"QUARATINE, UNSERVICEABLE",WPG MRO
2020-06-08,110134,23030986,PUMP SEPERATOR,L-6,DD,"QUARATINE, UNSERVICEABLE",WPG MRO
2020-06-08,110135,23031461,SCAVENGE BODY,NA,DD,UNSERVICEABLE,WPG MRO
2020-06-08,110195,23038229,GEAR,10-89-8,DD,UNSERVICEABLE,WPG MRO
2020-06-08,110198,6896437,FUEL GEAR,68597,DD,UNSERVICEABLE,WPG MRO
2020-06-08,NA,23031456,PUMP ASSY,NA,DD,"QUARATINE, INSPECTED AND NCR'ED FROM ENG. CAG90508",WPG MRO
2020-06-08,NA,23031459,PUMP ASSY,NA,DD,"ARATINE, INSPECTED AND NCR'ED FROM ENG. CAG97630",WPG MRO
2020-06-08,NA,MISC SCRAP PARTS,ENGINE,NA,DD,"QUARATINE ENGINE PARTS, CAE-295534,CAC-15395, SI 33",WPG MRO
2020-06-08,NA,MISC SCRAP PARTS,ENGINE,NA,DD,"QUARATINE ENGINE PARTS, CAE-295708, CAC-15800, SI 32",WPG MRO
2020-06-10,63128,23037447,SUMP COVER,CAL7547,DD,FAILED PRESSURE TEST,WPG MRO
2020-06-11,109556,6898784,2ND STAGE SPLINED,47328,MM,,WPG MRO
2020-06-11,109722,6879879,EX COLLECTOR,45656,MM,,WPG MRO
2020-06-11,109882,6853511,EX COLLECTOR,16971,MM,,WPG MRO
2020-06-11,110224,6889168,OIL PUMP COVER,30240,DD,"QUARATINE, BER PRO SEAL LIFTING AND CHIPPED",WPG MRO
2020-06-12,110258,6888529,STARTER GEN GEAR,488-100,DD,"QUARATINE, TEETH ARE BEYOND REPAIR",WPG MRO
2020-06-12,NA,"NA, ENGINE SCAP",SCRAP ENGINE PARTS,NA,DD,"QUARATINE, SCRAP ENGINE PARTS",WPG MRO
2020-06-16,NA,ENGINE SCRAP PARTS,SCRAP ENGINE PARTS,NA,DD,"QUARATINE, SCRAP ENGINE PARTS,CAE834898, CAG-38559 SI 27",WPG MRO
2020-06-17,NA,ENGINE SCRAP PARTS,SCRAP ENGINE PARTS,NA,DD,"QUARANTINE, SCRAP ENGINE PARTS, CAE-832741, CAG-35882 SI 28",WPG MRO
